abolengo	nm	1.0782	lineage | ancestry | nationality | inheritance
abolición	nf	0.5535	abolition
abolicionismo	nm	0.0972	abolitionism
abolicionista	adj	0.1301	abolitionist
abolir	v	0.6724	abolish
abolladura	nf	0.3569	dent
abollar	v	0.3306	dent
abomaso	nm	0.5805	abomasum | rennet-stomach
abombamiento	nm	0.2504	deafness
abominable	adj	0.2188	detestable
abominablemente	adv	0.1393	abominably
abominación	nf	0.8979	abomination | disgust
abominar	v	1.2758	abominate | curse
abonanzar	v	0.4956	calm down
abonar	v	0.4214	fertilize | accredit
abono	nm	0.5284	payment | fertiliser
aboral	adj	0.0589	aboral
abordable	adj	0.2820	approachable | attainable
abordador	adj	0.1970	boarder
abordaje	nm	0.1866	boarding
abordar	v	1.1315	board | address
aborigen	adj	1.0060	native | aboriginal
aborrecer	v	0.6745	detest
aborrecible	adj	0.4631	abhorrent
abortar	v	0.5355	abort | miscarry
abortivo	adj	0.3225	abortive
aborto	nm	1.9701	abortion | miscarriage
abortón	nm	0.0005	abortion of quadruped
abotonador	nm	0.0993	buttonhook
abotonar	v	0.7305	button
abovedado	adj	0.0000	arched
abra	nf	1.2558	col | pass | bay
abracadabra	interj	0.3885	abracadabra
Abraham	prop	0.6482	Abraham
abrahámico	adj	0.2143	Abrahamic
abrasador	adj	0.5107	burning
abrasar	v	1.6710	burn
abrasión	nf	0.6329	abrasion
abraxas	nm	0.0000	abraxas
abrazadera	nf	0.5340	clasp
abrazador	adj	0.0000	embracing
abrázala	nm	0.0004	abrazala
abrazamiento	nm	0.3599	embrace | embracement
abrazar	v	1.8554	embrace | hug
abrazo	nm	0.9236	hug | embrace
abrebotellas	nm	0.2937	bottle opener
abrecartas	nm	0.0705	letter opener
abrelatas	nm	0.3134	can opener | tin opener
abrenunciación	nf	0.0576	abrenunciation
abrepuño	nm	0.0003	maltese star thistle | tocalote
abretonar	v	0.0005	set alongside
abrevadero	nm	1.0278	trough | watering pond
abrevar	v	0.3864	irrigate
abrevarse	v	0.8583	water
abreviación	nf	0.0564	abridgement
abreviadamente	adv	0.0005	by extract
abreviamiento	nm	0.0417	abridgement
abreviar	v	0.6800	abbreviate
abreviatura	nf	1.2064	abbreviation
abribonarse	v	0.4949	loaf
abridor	nm	0.0007	grafting knife
abrigadero	nm	0.0007	sheltered place
abrigaño	nm	0.6419	refuge
abrigar	v	1.0190	shelter
abrigo	nm	1.5385	coat | refuge | shelter
abril	nm	1.5593	April
abrillantar	v	0.5376	polish
abrimiento	nm	0.4899	opening
abriolar	v	0.0004	brail up
abrir	v	2.5962	open
abrirse	v	0.8409	begin
abrochador	nm	0.0993	buttonhook
abrochamiento	nm	0.0000	buttoning
abrochar	v	0.8559	button
abrogable	adj	0.0004	that can be abrogated
abrogación	nf	0.2416	abrogation
abrogar	v	0.3452	abrogate
abrojal	nm	0.0004	thistly ground
abrojín	nm	0.1180	sea snail
abrojo	nm	0.6295	caltrop | thistle | calthrop | caltrap | cheval trap | crow’s foot | galthrap | galtrap
abroma	nm	0.0005	abroma | devil’s cotton
abromar	v	0.0004	become covered with barnacles
abroncar	v	0.4077	annoy
abroquelar	v	0.0000	boxhaul
abrumador	adj	0.2292	crushing | overwhelming | tiresome
abrumadoramente	adv	0.0000	overwhelmingly
abrumar	v	0.7103	overwhelm
abrupción	nf	0.0000	abruption
abruptamente	adv	0.1621	abruptly | brusquely
